accel_x,accel_y,gyro_x
0.83248144,-3.8083644,-0.35353035
0.90740466,-3.8429503,-0.40118858
0.8870263,-3.7845876,-0.36848918
0.87131834,-3.7965937,-0.27878776
0.8102134,-3.7694292,-0.29001072
0.9491738,-4.036004,-0.48412293
0.9712503,-4.002288,-0.48146978
0.74909973,-3.6211178,-0.19647047
0.70496356,-3.5109096,-0.19746229
0.84856164,-4.040083,-0.36221012
0.8668345,-3.9650652,-0.34769803
0.7535047,-3.856886,-0.28601512
0.68054026,-3.6426692,-0.16985759
0.7064975,-3.4809828,-0.16921893
0.68378615,-3.4832063,-0.119950324
0.78408265,-3.534583,-0.084181726
0.7155143,-3.4773278,-0.041404217
0.94499135,-1.272274,0.5940963
1.0638111,-2.135408,0.06206423
1.7602546,-4.1869016,-1.065843
2.4522638,-5.800418,-1.7964755
2.334728,-6.0708885,-1.781571
2.497555,-6.438844,-1.925254
2.5887415,-6.811063,-2.0784132
3.318685,-8.340621,-2.907731
3.752739,-9.272223,-3.401802
3.801653,-9.516605,-3.402264
3.599112,-9.232924,-3.1286387
3.3899846,-8.728144,-2.8429742
3.329635,-8.657969,-2.787406
2.979443,-8.207101,-2.5006676
3.2292428,-8.602046,-2.8370345
3.427994,-8.974113,-3.0628948
3.3588305,-8.930679,-3.009725
3.6399508,-9.206382,-3.1848316
3.8248568,-9.488211,-3.3618152
4.217304,-10.155575,-3.7107902
3.9621525,-9.74361,-3.3266354
4.1334667,-10.032973,-3.49383
4.0095553,-10.001938,-3.450085
4.002449,-10.013137,-3.431118
3.618888,-9.496316,-3.1059341
2.345663,-3.2289946,-0.5416883
4.04976,-6.647212,-2.3717108
5.4245944,-9.562581,-3.8073282
6.2468624,-11.174868,-4.468462
7.3301363,-13.038007,-5.272311
8.155155,-14.063984,-5.6669874
8.456138,-14.723525,-5.8395696
8.466588,-14.763357,-5.7582407
8.740572,-15.145632,-5.9416156
9.276979,-15.907168,-6.297248
9.279809,-16.005884,-6.2967043
9.098124,-15.622516,-6.0201855
9.335591,-15.844327,-6.1322346
9.519438,-16.05865,-6.2725263
10.0717125,-16.996,-6.81696
9.652015,-16.354523,-6.454816
9.610147,-16.226612,-6.317401
9.671675,-16.330006,-6.3580446
9.879904,-17.044771,-6.7498164
9.518858,-16.313782,-6.402951
9.581698,-16.442951,-6.4391365
9.534654,-16.293472,-6.2945824
9.539794,-16.464493,-6.408473
9.672666,-16.51005,-6.46182
9.586856,-16.441803,-6.385006
2.8357353,-3.6130457,-0.43126076
4.430464,-6.3757706,-1.717166
7.138976,-10.626135,-3.5254455
9.119726,-13.753024,-4.676073
11.405279,-16.929193,-5.649998
11.785929,-17.497864,-5.6659746
12.014513,-17.848835,-5.657866
13.014723,-19.275682,-6.1679983
13.143683,-19.337923,-6.1250234
13.943616,-20.494751,-6.515192
13.950992,-20.230972,-6.2900677
13.832255,-19.933552,-6.109357
13.355532,-19.253944,-5.827868
13.731671,-19.897015,-6.089673
14.406904,-20.800621,-6.418419
14.170623,-20.299356,-6.2269125
14.770096,-21.33093,-6.574838
13.987962,-19.875416,-5.994376
14.384296,-20.570736,-6.2985563
14.296384,-20.398195,-6.234483
13.737785,-19.578623,-5.915743
14.271349,-20.374294,-6.1611104
13.797747,-19.539505,-5.8440266
13.697009,-19.4258,-5.8089457
13.4368,-19.129414,-5.7040477
2.8149936,-4.443618,-0.4140909
5.3593774,-9.696402,-2.193159
7.895196,-15.06353,-3.8486032
9.798843,-18.961094,-4.779268
11.544242,-22.36285,-5.5666475
11.67388,-22.3528,-5.3345103
12.421877,-23.777176,-5.6608033
13.042568,-25.00757,-6.02267
12.779831,-24.313675,-5.7261014
13.023053,-24.75416,-5.842109
13.663388,-26.433077,-6.457252
13.436123,-25.728867,-6.2331924
13.322157,-25.384197,-6.0398903
12.930503,-24.513662,-5.725033
13.098487,-24.874393,-5.831967
13.612927,-26.255205,-6.320329
13.533598,-25.855595,-6.156163
13.617989,-26.125257,-6.26178
13.786657,-26.60994,-6.461135
13.260422,-25.193148,-5.9784384
13.447567,-25.702316,-6.1024756
13.7388935,-26.466747,-6.404792
13.491655,-25.75635,-6.180049
13.408773,-25.625374,-6.1028414
13.532471,-25.860643,-6.207923
3.874898,-8.786336,-1.2423748
5.448736,-13.385927,-2.3308573
7.3342123,-18.652336,-3.4557402
9.098623,-23.272135,-4.3360095
10.008431,-25.616436,-4.639634
10.777803,-27.709944,-5.0814333
10.926954,-27.898447,-4.982829
11.083519,-28.178196,-4.966346
11.404469,-29.001926,-5.1620016
11.670156,-29.82051,-5.3939776
11.523932,-29.09483,-5.166525
11.417637,-28.927862,-5.118563
11.698579,-29.707703,-5.301717
11.798364,-29.749376,-5.269889
11.656047,-29.420185,-5.2292438
11.432096,-28.755363,-5.0116997
11.577631,-29.178162,-5.108397
11.629882,-29.485674,-5.246241
11.898268,-30.236279,-5.438718
11.844903,-30.040663,-5.3727694
11.865023,-30.133715,-5.405504
11.812305,-29.858952,-5.320906
11.768663,-29.575771,-5.2259803
11.569719,-29.221367,-5.170271
11.814154,-30.014881,-5.39658
2.5513735,-7.746129,-0.5707108
5.387102,-20.104715,-3.042258
6.9619536,-25.945608,-3.6770005
8.126241,-30.047821,-4.00971
8.514706,-30.957619,-3.9475238
8.592601,-31.030178,-3.8519173
8.873963,-32.115448,-4.0212812
9.036751,-32.591747,-4.096894
8.899565,-31.961113,-3.9247208
9.083814,-32.600216,-4.0282435
9.221149,-33.143013,-4.161654
8.932042,-31.927486,-3.9155025
8.924797,-31.857086,-3.8305335
8.796696,-31.380804,-3.7148416
8.94408,-32.00928,-3.7945147
9.15177,-33.115368,-4.102549
9.444922,-34.16914,-4.331497
9.233464,-33.085148,-4.1246247
9.251637,-33.081516,-4.0738792
9.392823,-33.826984,-4.2673516
9.075608,-32.267124,-3.9764237
8.933895,-31.72591,-3.8196468
8.97276,-31.941391,-3.8122368
8.910719,-31.881107,-3.8341355
8.849184,-31.672289,-3.7485476
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
